,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
241,15,750.0,penthouse,80.0,True,0,1,20818,9.375,False,False,False,True,True,1.0,Other
242,24,720.0,studio,36.0,True,0,1,5975,20.0,False,True,False,True,True,2.0,Madrid
243,16,700.0,flat,82.0,True,2,1,42463,8.536585365853659,False,False,False,False,False,3.0,Other
245,19,692.0,flat,83.0,True,2,2,20294,8.337349397590362,True,False,False,True,True,nan,Other
247,14,609.0,flat,56.0,True,1,1,30186,10.875,True,False,False,True,False,0.0,Other
251,11,750.0,flat,36.0,False,2,1,3620,20.83333333333333,False,False,False,True,False,2.0,Madrid
258,16,650.0,studio,28.0,True,0,1,4920,23.214285714285715,False,True,False,False,False,0.0,Madrid
259,23,750.0,flat,60.0,False,2,1,29663,12.5,False,False,True,False,False,1.0,Other
260,30,735.0,flat,60.0,True,3,1,20886,12.25,True,True,True,False,False,4,Other
261,24,699.0,penthouse,78.0,True,2,1,27684,8.961538461538462,False,False,False,False,False,2.0,Other
262,28,725.0,flat,67.0,True,3,1,17191,10.82089552238806,True,True,True,False,False,4,Other
263,21,740.0,flat,77.0,True,3,2,28385,9.61038961038961,True,True,True,True,False,0.0,Other
265,20,720.0,flat,73.0,True,1,1,34761,9.863013698630136,True,False,False,True,False,2.0,Other
266,21,750.0,flat,79.0,True,3,1,11728,9.49367088607595,False,False,False,True,False,0.5,Other
268,30,710.0,flat,66.0,True,3,1,20588,10.757575757575758,True,True,True,False,False,4,Other
269,42,725.0,flat,62.0,True,2,1,7748,11.693548387096774,False,True,True,False,False,3.0,Madrid
270,22,750.0,flat,46.0,False,1,1,5680,16.304347826086957,False,False,False,False,False,0.0,Madrid
271,32,750.0,flat,61.0,True,2,1,3161,12.295081967213116,False,False,False,True,False,1.0,Madrid
272,28,730.0,flat,161.0,True,3,1,44159,4.53416149068323,True,True,True,False,False,3.0,Other
274,25,720.0,flat,110.0,False,2,1,21417,6.545454545454546,True,True,True,True,True,nan,Other
275,28,720.0,flat,48.0,False,2,1,3551,15.0,True,True,True,False,False,0.0,Madrid
276,33,700.0,flat,57.0,False,2,1,8410,12.280701754385966,True,True,True,False,False,4,Madrid
277,19,750.0,duplex,75.0,True,2,2,24176,10.0,False,False,False,False,False,1.0,Other
278,26,610.0,studio,26.0,False,0,1,5343,23.46153846153846,True,True,True,True,False,3.0,Madrid
279,25,740.0,flat,52.0,False,2,1,17525,14.23076923076923,True,True,True,False,False,4,Other
280,33,715.0,flat,62.0,True,2,1,26558,11.53225806451613,False,True,False,True,True,0.0,Other
281,28,550.0,flat,57.0,False,2,1,43521,9.649122807017545,True,True,True,False,False,0.0,Other
282,45,710.0,flat,36.0,True,1,1,1315,19.72222222222222,True,True,True,False,False,0.0,Madrid
283,26,730.0,flat,51.0,True,2,1,8093,14.31372549019608,True,True,True,False,False,2.0,Madrid
284,21,750.0,studio,23.0,True,0,1,1367,32.608695652173914,False,False,True,True,False,4,Madrid
285,27,690.0,flat,33.0,False,1,1,5232,20.90909090909091,True,True,True,True,False,3.0,Madrid
286,32,740.0,flat,73.0,True,3,1,21838,10.136986301369864,True,True,True,True,False,4,Other
287,38,750.0,duplex,66.0,True,1,1,5627,11.363636363636363,True,True,True,True,False,0.0,Madrid
288,29,720.0,flat,44.0,False,3,1,8176,16.363636363636363,True,True,True,False,False,2.0,Madrid
289,27,475.0,flat,79.0,True,2,2,45077,6.012658227848101,False,False,False,True,False,2.0,Other
290,26,740.0,flat,41.0,True,2,1,4787,18.04878048780488,True,True,True,False,False,2.0,Madrid
291,31,740.0,flat,57.0,True,1,1,3642,12.982456140350877,True,True,True,True,False,1.0,Madrid
293,47,700.0,flat,74.0,False,2,1,9950,9.45945945945946,True,True,True,False,False,4,Other
294,22,730.0,flat,35.0,False,1,1,760,20.857142857142858,False,False,False,True,False,2.0,Madrid
295,25,700.0,studio,28.0,True,0,1,9700,25.0,False,False,False,True,False,3.0,Madrid
299,23,750.0,flat,109.0,True,2,2,24455,6.8807339449541285,False,False,False,True,True,3.0,Other
303,16,749.0,flat,38.0,True,1,1,6506,19.710526315789476,False,True,False,True,True,2.0,Madrid
304,7,700.0,studio,30.0,False,0,1,2411,23.33333333333333,False,False,False,True,False,0.0,Madrid
305,15,667.0,flat,70.0,True,1,1,21185,9.528571428571428,False,False,False,True,True,4,Other
306,22,725.0,flat,45.0,False,1,1,10398,16.11111111111111,False,False,False,True,True,1.0,Madrid
307,21,550.0,penthouse,70.0,True,3,1,47595,7.857142857142857,False,False,False,False,True,3.0,Other
308,29,695.0,flat,55.0,True,3,1,19765,12.636363636363637,True,True,True,False,False,4,Other
310,35,750.0,flat,105.0,True,3,1,28810,7.142857142857143,False,False,False,False,False,1.0,Other
311,24,699.0,flat,52.0,True,1,1,7092,13.442307692307692,False,False,False,True,True,3.0,Madrid
312,18,750.0,studio,32.0,True,0,1,5006,23.4375,False,False,True,True,False,4,Madrid
